gameid,side,result,teamname,goldat10,xpat10,csat10,goldat20,firsttower,firstdragon,firstherald,firstblood
LOLTMNT05_111750,Blue,0,Movistar KOI,16362.0,18318.0,324.0,32895.0,1.0,0.0,1.0,1.0
LOLTMNT02_222055,Blue,1,Hanwha Life Esports,16250.0,20006.0,381.0,36097.0,1.0,0.0,1.0,0.0
LOLTMNT02_222064,Red,0,Hanwha Life Esports,16431.0,17746.0,311.0,33331.0,1.0,0.0,0.0,1.0
LOLTMNT02_222074,Blue,0,Hanwha Life Esports,15369.0,18061.0,331.0,32822.0,1.0,0.0,1.0,0.0
LOLTMNT02_221082,Blue,1,PSG Talon,15369.0,18930.0,339.0,36779.0,1.0,0.0,1.0,1.0
LOLTMNT02_221095,Red,0,PSG Talon,15592.0,19010.0,318.0,33325.0,0.0,0.0,1.0,0.0
LOLTMNT02_221094,Blue,1,Hanwha Life Esports,15504.0,18620.0,332.0,37542.0,1.0,0.0,1.0,1.0
LOLTMNT02_221102,Blue,0,PSG Talon,14713.0,17876.0,319.0,30670.0,0.0,0.0,0.0,0.0
LOLTMNT02_221101,Red,1,Hanwha Life Esports,15092.0,17988.0,315.0,32755.0,1.0,0.0,0.0,1.0
LOLTMNT02_222122,Blue,1,CTBC Flying Oyster,16250.0,18286.0,335.0,34924.0,1.0,0.0,0.0,0.0
LOLTMNT02_222153,Red,1,CTBC Flying Oyster,15671.0,19755.0,324.0,34966.0,0.0,1.0,0.0,1.0
LOLTMNT02_222394,Red,1,Gen.G,15569.0,18841.0,365.0,32241.0,1.0,0.0,1.0,1.0
LOLTMNT02_222398,Red,1,Gen.G,15175.0,19293.0,330.0,32851.0,0.0,1.0,0.0,0.0
LOLTMNT02_222411,Red,0,Gen.G,15064.0,19099.0,337.0,31719.0,0.0,0.0,0.0,0.0
LOLTMNT02_222421,Blue,0,Gen.G,14663.0,17629.0,321.0,31655.0,1.0,0.0,0.0,0.0
LOLTMNT02_222433,Blue,1,Gen.G,15449.0,18772.0,338.0,32797.0,0.0,0.0,1.0,0.0
LOLTMNT02_221657,Red,1,PSG Talon,15392.0,19101.0,358.0,34202.0,1.0,1.0,1.0,1.0
LOLTMNT02_221663,Red,0,PSG Talon,15250.0,19016.0,355.0,33130.0,1.0,0.0,0.0,0.0
